S.No,From Date,To Date,PM2.5 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),CO (mg/m3)
206,25-Jul-2017 - 00:00,26-Jul-2017 - 00:00,,11.5,22.2,35.79,37.58,0.22
207,26-Jul-2017 - 00:00,27-Jul-2017 - 00:00,,25.99,9.75,79.26,42.05,0.57
208,27-Jul-2017 - 00:00,28-Jul-2017 - 00:00,,14.61,7.68,122.18,41.03,0.63
209,28-Jul-2017 - 00:00,29-Jul-2017 - 00:00,,5.03,2.05,192.7,40.95,1
210,29-Jul-2017 - 00:00,30-Jul-2017 - 00:00,,,,,,
211,30-Jul-2017 - 00:00,31-Jul-2017 - 00:00,,,,,,
212,31-Jul-2017 - 00:00,01-Aug-2017 - 00:00,,21.92,8.21,126.51,46.28,0.56
213,01-Aug-2017 - 00:00,02-Aug-2017 - 00:00,,25.05,9.07,146.3,43.73,0.57
214,02-Aug-2017 - 00:00,03-Aug-2017 - 00:00,,19.55,11.67,138.98,40.98,0.59
215,03-Aug-2017 - 00:00,04-Aug-2017 - 00:00,,17.88,13.54,117.94,38.17,0.54
216,04-Aug-2017 - 00:00,05-Aug-2017 - 00:00,,17.91,10.13,69.97,33.85,0.43
217,05-Aug-2017 - 00:00,06-Aug-2017 - 00:00,,19.56,9.36,58.22,30.03,0.41
218,06-Aug-2017 - 00:00,07-Aug-2017 - 00:00,,22.94,8.2,96.33,38.81,1.13
219,07-Aug-2017 - 00:00,08-Aug-2017 - 00:00,,18.3,9.64,130.72,37,0.46
220,08-Aug-2017 - 00:00,09-Aug-2017 - 00:00,,18.48,11.81,97.97,32.6,0.47
221,09-Aug-2017 - 00:00,10-Aug-2017 - 00:00,,26.82,13.3,91,29.26,0.39
222,10-Aug-2017 - 00:00,11-Aug-2017 - 00:00,,28.3,14.32,104.06,31.49,0.41
223,11-Aug-2017 - 00:00,12-Aug-2017 - 00:00,,16.64,9.45,131.47,36.93,0.39
224,12-Aug-2017 - 00:00,13-Aug-2017 - 00:00,,10.44,11.6,207.71,34.46,0.49
225,13-Aug-2017 - 00:00,14-Aug-2017 - 00:00,,11.03,10.51,149.22,36.3,0.76
226,14-Aug-2017 - 00:00,15-Aug-2017 - 00:00,,10.75,10.03,162.65,34.14,0.52
227,15-Aug-2017 - 00:00,16-Aug-2017 - 00:00,,14.57,10.09,106.33,33.65,0.5
228,16-Aug-2017 - 00:00,17-Aug-2017 - 00:00,,18.57,9.63,86.16,33.37,0.48
229,17-Aug-2017 - 00:00,18-Aug-2017 - 00:00,,16.39,10.38,125.95,32.75,0.54
230,18-Aug-2017 - 00:00,19-Aug-2017 - 00:00,,16.83,9.72,50.29,26.92,0.37
231,19-Aug-2017 - 00:00,20-Aug-2017 - 00:00,,17.38,11.32,25.5,27.35,0.41
232,20-Aug-2017 - 00:00,21-Aug-2017 - 00:00,,15.4,12.28,64.25,29.97,0.48
233,21-Aug-2017 - 00:00,22-Aug-2017 - 00:00,,14.68,9.97,108.61,29.23,0.58
234,22-Aug-2017 - 00:00,23-Aug-2017 - 00:00,,12.04,9.65,143.71,31.64,0.7
235,23-Aug-2017 - 00:00,24-Aug-2017 - 00:00,,1.19,8.59,153.86,28.9,0.54
236,24-Aug-2017 - 00:00,25-Aug-2017 - 00:00,,,,,,
237,25-Aug-2017 - 00:00,26-Aug-2017 - 00:00,,,,,,
238,26-Aug-2017 - 00:00,27-Aug-2017 - 00:00,,22.07,10,,19.29,0
239,27-Aug-2017 - 00:00,28-Aug-2017 - 00:00,,10.96,12.25,33.16,29.86,0.47
240,28-Aug-2017 - 00:00,29-Aug-2017 - 00:00,,15.63,11.11,21.88,24.4,0.26
241,29-Aug-2017 - 00:00,30-Aug-2017 - 00:00,,13.86,10.18,54.51,22.1,0.58
242,30-Aug-2017 - 00:00,31-Aug-2017 - 00:00,,15.25,10.53,79.66,22.33,0.49
243,31-Aug-2017 - 00:00,01-Sep-2017 - 00:00,,13.53,8.22,113,19.97,0.63
244,01-Sep-2017 - 00:00,02-Sep-2017 - 00:00,,9.93,6.69,178.31,18.36,0.57
245,02-Sep-2017 - 00:00,03-Sep-2017 - 00:00,,7.59,7.29,87.77,17.72,0.48
246,03-Sep-2017 - 00:00,04-Sep-2017 - 00:00,,13.62,11.88,119.63,21.31,0.56
247,04-Sep-2017 - 00:00,05-Sep-2017 - 00:00,,12.37,11.35,156.97,26.33,0.56
248,05-Sep-2017 - 00:00,06-Sep-2017 - 00:00,,20.21,22.08,148.35,15.89,0.82
249,06-Sep-2017 - 00:00,07-Sep-2017 - 00:00,,17.45,14.19,173.48,19.27,0.55
250,07-Sep-2017 - 00:00,08-Sep-2017 - 00:00,,16.16,13.03,212.29,19.85,0.59
251,08-Sep-2017 - 00:00,09-Sep-2017 - 00:00,,14.25,13,168.73,18.46,0.58
252,09-Sep-2017 - 00:00,10-Sep-2017 - 00:00,,16.61,7.82,185.26,19.23,0.51
253,10-Sep-2017 - 00:00,11-Sep-2017 - 00:00,,,,,,
254,11-Sep-2017 - 00:00,12-Sep-2017 - 00:00,,,,,,
255,12-Sep-2017 - 00:00,13-Sep-2017 - 00:00,,23.06,19.25,173.91,25.21,0.46
256,13-Sep-2017 - 00:00,14-Sep-2017 - 00:00,,15.16,16.83,153.56,19.98,0.58
257,14-Sep-2017 - 00:00,15-Sep-2017 - 00:00,,14.87,11.16,172.18,18.48,0.68
258,15-Sep-2017 - 00:00,16-Sep-2017 - 00:00,,8.69,14.5,209.79,14.76,0.79
259,16-Sep-2017 - 00:00,17-Sep-2017 - 00:00,,14.25,16.15,177.32,11.82,0.71
260,17-Sep-2017 - 00:00,18-Sep-2017 - 00:00,,18.66,13.8,127.44,17.29,0.46
261,18-Sep-2017 - 00:00,19-Sep-2017 - 00:00,,12.91,13.18,30.32,20.98,0.29
262,19-Sep-2017 - 00:00,20-Sep-2017 - 00:00,,10.1,12.18,27.75,20.04,0.36
263,20-Sep-2017 - 00:00,21-Sep-2017 - 00:00,,4.78,12.48,65.48,22.36,0.49
264,21-Sep-2017 - 00:00,22-Sep-2017 - 00:00,,14.08,10.64,88.86,15.61,0.38
265,22-Sep-2017 - 00:00,23-Sep-2017 - 00:00,,10.73,11.17,70.91,17.84,0.27
266,23-Sep-2017 - 00:00,24-Sep-2017 - 00:00,,,,,,
267,24-Sep-2017 - 00:00,25-Sep-2017 - 00:00,,,,,,
268,25-Sep-2017 - 00:00,26-Sep-2017 - 00:00,,17.33,10.95,164.93,17.16,0.75
269,26-Sep-2017 - 00:00,27-Sep-2017 - 00:00,,21.96,11.63,146.55,20.18,0.86
270,27-Sep-2017 - 00:00,28-Sep-2017 - 00:00,,6.79,4.87,93.82,18.81,0.34
271,28-Sep-2017 - 00:00,29-Sep-2017 - 00:00,,,,,,0
272,29-Sep-2017 - 00:00,30-Sep-2017 - 00:00,,,,,,0
273,30-Sep-2017 - 00:00,01-Oct-2017 - 00:00,,,,,,0
